unitCode,unitName,routeName,xValue,yValue,mean_passenger_126_traffic,mean_freight_345_traffic,mean_total_traffic,std_freight_345_traffic,mean_freight_345_share,traffic_volatility,inflow_freight,outflow_freight,imbalance_ratio,abs_imbalance_ratio,mean_freight_345_share_scaled,mean_freight_345_traffic_scaled,traffic_volatility_scaled,abs_imbalance_ratio_scaled,vulnerability_score,vulnerability_grade,geometry,local_moran_i,local_p_value,lisa_quadrant,lisa_significant,lisa_cluster,cluster_color,mean_diesel_shock_index_30d,max_diesel_shock_index_30d,fuel_shock_impact_score_mean,fuel_shock_impact_score_max,fuel_shock_impact_grade,impact_grade,grade_color
511,무창포,서해안선,126.56535,36.241003,1749.050796812749,255.67529880478088,2004.7260956175296,108.44809440405469,0.1437723873469292,0.4241633623233172,245.42828685258965,265.92231075697214,0.0400782242167839,0.0400782242167839,0.3962173859142264,0.0237160454879709,0.0099415424371725,0.05076195549412,0.1381207290069177,High,POINT (126.56535 36.241003),0.02242911250698,0.357,1,False,Not significant,#d9d9d9,0.5963145671905431,1.0,0.08236340273780242,0.1381207290069177,High,Moderate,#fee08b
512,연화산,중부선-대전통영선A,128.193634,35.088391,745.6822709163347,55.68725099601593,801.3695219123506,30.80925455628241,0.0693990547703881,0.5532550809248353,55.54581673306773,55.82868525896414,0.0025397961008763,0.0025397961008763,0.1870526431550553,0.0049975276655345,0.0151402346029377,0.0032168345568273,0.0612864650781299,Low,POINT (128.193634 35.088391),0.2880754559532124,0.165,3,False,Not significant,#d9d9d9,0.5963145671905431,1.0,0.036546011897703366,0.0612864650781299,Low,Low,#9ecae1
513,고성,중부선-대전통영선A,128.3457,35.006937,7109.469123505976,592.4302788844622,7701.899402390438,226.05808842308076,0.0807456582850214,0.3815775399743999,611.0737051792829,573.7868525896414,-0.0314694014794889,0.0314694014794889,0.218963400991355,0.0552356996147185,0.0082265557330185,0.0398582619002225,0.0918766937084703,Moderate,POINT (128.3457 35.006937),0.1623374221069358,0.103,3,False,Not significant,#d9d9d9,0.5963145671905431,1.0,0.054787410843664563,0.0918766937084703,Moderate,Low,#9ecae1
514,동고성,중부선-대전통영선A,128.38047,34.968733,2084.496015936255,416.5059760956176,2501.0019920318723,212.47273935551283,0.1572487380356889,0.5101313103530004,411.2011952191235,421.8107569721116,0.0127363859847144,0.0127363859847144,0.4341177640134044,0.038769504593396,0.0134035840210202,0.0161315495171379,0.1477732072896718,Very High,POINT (128.38047 34.968733),-0.2224088194596629,0.042,4,True,High-Low,#fdae61,0.5963145671905431,1.0,0.08811931614729905,0.1477732072896718,Very High,Moderate,#fee08b
515,북통영,중부선-대전통영선A,128.40675,34.894422,3504.1344621513945,234.19820717131475,3738.332669322709,43.341896552672495,0.0659677500676532,0.1850650228119301,228.12350597609563,240.27290836653387,0.0259382907691326,0.0259382907691326,0.1774025718107699,0.0217058287429204,0.000312739924269,0.0328527120985778,0.0663656105706765,Low,POINT (128.40675 34.894422),0.2816787614951423,0.14,3,False,Not significant,#d9d9d9,0.5963145671905431,1.0,0.039574780343789084,0.0663656105706765,Low,Low,#9ecae1
516,통영,중부선-대전통영선A,128.433077,34.869414,9412.44721115538,824.6304780876494,10237.077689243028,313.66739105418384,0.0873931451651806,0.3803732694692426,816.0637450199204,833.1972111553785,0.0103885719669198,0.0103885719669198,0.2376585412400795,0.0769692162662454,0.0081780581864025,0.0131578740859333,0.0986555137063646,Moderate,POINT (128.433077 34.869414),0.1246967476114445,0.092,3,False,Not significant,#d9d9d9,0.5963145671905431,1.0,0.058829719956771505,0.0986555137063646,Moderate,Low,#9ecae1
517,양평,중부내륙선,127.440195,37.517815,4197.793824701195,269.1314741035857,4466.925298804781,138.40234469965912,0.0637990589195338,0.5142555145608485,294.6215139442231,243.6414342629482,-0.0947122216958787,0.0947122216958787,0.1713034269909025,0.0249755190410773,0.0135696711127223,0.119959845438013,0.085589587119741,Moderate,POINT (127.440195 37.517815),0.346864909559024,0.005,3,True,Low-Low,#4575b4,0.5963145671905431,1.0,0.05103831759932564,0.085589587119741,Moderate,Low,#9ecae1
518,칠곡물류,경부선,128.451318,35.953191,3578.616533864542,1319.53187250996,4898.148406374502,421.6166578322009,0.275683456236883,0.3195198741431071,1276.4402390438247,1362.6235059760957,0.0326567583276092,0.0326567583276092,0.767199078351622,0.1232910873647674,0.0057274124519636,0.0413621348052171,0.2765649591663529,Very High,POINT (128.451318 35.953191),-1.0998711161613837,0.06,4,False,Not significant,#d9d9d9,0.5963145671905431,1.0,0.16491971392535393,0.2765649591663529,Very High,Very High,#f82216
519,남대구,중부내륙지선A,128.521543,35.831943,30522.26992031873,1501.509960159363,32023.779880478087,496.2557702755737,0.0462794541522855,0.33050448111773,1493.996015936255,1509.0239043824702,0.0050042586612679,0.0050042586612679,0.1220319543079683,0.1403239056470655,0.0061697769261655,0.0063382537626996,0.0812083641242831,Moderate,POINT (128.521543 35.831943),0.2679861118246113,0.046,3,True,Low-Low,#4575b4,0.5963145671905431,1.0,0.048425730505023905,0.0812083641242831,Moderate,Low,#9ecae1
520,평택,평택-음성지선,126.977844,37.032914,16473.140438247014,2633.7360557768925,19106.876494023905,1164.250788001749,0.1364361321108428,0.4420529481107481,2656.46015936255,2611.011952191235,-0.0086280869093976,0.0086280869093976,0.375585179636628,0.2462982105220765,0.0106619794294863,0.0109280930543531,0.1908830315443792,Very High,POINT (126.977844 37.032914),0.7364551796088771,0.037,1,True,High-High,#d73027,0.5963145671905431,1.0,0.11382633233940526,0.1908830315443792,Very High,Moderate,#fee08b
